ItemNum,Difficulty,Response_Time
552,0.52,75.21
16,0.7,80.88
441,0.84,88.45
219,1.02,127.3
600,0.96,88.57
229,0.24,63.22
436,0.12,53.75
299,0.18,104.76
439,1.32,113.94
205,0.24,93.78
3,0.2,48.2
110,0.46,71.9
619,0.12,49.67
188,0.58,100.21
289,0.72,105.43
638,0.52,121.73
328,0.6,95.87
610,1.3,102.78
226,0.12,69.0
350,0.44,77.38
415,0.26,93.88
445,1.36,139.28
351,0.42,87.7
212,0.14,46.79
472,1.12,125.51
77,0.66,92.4
423,0.34,103.88
663,0.64,193.35
117,0.24,70.64
370,0.7,98.46
541,0.2,62.13
13,0.56,51.32
636,0.6,93.99
54,0.42,64.88
477,0.5,56.43
312,0.16,79.06
655,0.28,63.7
620,0.98,106.12
179,0.24,54.97
464,0.26,52.82
561,0.5,142.84
125,0.98,76.52
389,0.44,72.76
406,0.56,49.79
527,0.72,68.01
602,0.32,59.08
578,0.14,100.39
187,0.34,66.48
537,0.6,143.22
337,0.14,64.08
107,0.6,51.77
658,0.14,54.8
145,0.78,64.88
560,0.12,54.93
572,0.28,61.71
267,0.4,145.3
564,0.52,79.57
247,0.3,51.11
111,0.26,92.7
590,0.58,94.55
427,0.4,54.02
597,0.52,79.98
333,0.26,61.17
630,0.36,93.9
196,0.52,67.98
601,0.48,133.42
197,0.56,117.77
258,0.44,75.32
513,0.82,110.71
478,0.1,42.75
593,0.72,126.7
102,0.24,90.54
499,0.84,103.93
144,0.16,69.08
52,0.8,74.66
41,0.76,119.74
551,1.04,62.0
425,0.58,86.19
71,0.8,92.37
393,0.3,143.47
648,1.24,121.67
352,0.32,56.5
385,0.22,80.88
470,0.94,110.71
220,0.28,51.53
295,0.26,56.4
583,0.16,74.93
468,0.66,143.44
150,0.58,91.19
491,0.48,73.81
482,0.38,50.13
251,0.22,55.92
523,1.04,194.29
456,0.12,62.6
181,1.08,124.02
449,0.42,81.36
73,0.48,54.52
106,0.16,93.21
433,0.42,149.2
454,0.4,99.46
545,0.68,87.3
253,0.34,104.22
625,0.12,61.61
363,0.76,121.4
566,0.16,50.21
53,0.26,68.94
542,0.48,74.24
17,0.5,53.59
402,0.82,73.17
132,0.82,150.82
75,0.34,65.83
508,0.1,39.86
641,0.52,81.86
210,0.18,55.17
332,0.18,79.31
180,0.32,73.32
124,0.16,44.8
634,0.4,96.83
396,0.7,92.57
531,0.38,61.08
287,0.9,83.41
414,0.12,72.43
159,0.26,76.95
336,0.2,72.54
121,0.44,81.4
392,1.02,120.95
265,0.46,44.63
8,0.98,45.66
155,0.32,76.33
161,0.14,65.19
214,0.14,51.85
504,0.3,97.84
10,0.4,34.63
359,0.28,135.62
255,0.7,99.35
235,1.12,103.71
138,0.54,113.01
398,0.24,104.8
360,1.08,111.48
381,0.12,76.95
581,0.12,58.94
109,0.3,74.88
118,0.16,57.82
345,0.62,117.94
647,0.24,71.13
49,0.54,78.15
397,0.26,95.92
175,0.12,59.09
119,0.8,94.04
652,0.34,123.03
528,0.1,45.78
64,0.66,87.8
486,0.62,257.8
101,0.5,97.65
86,0.16,93.35
395,0.66,126.73
276,0.68,120.64
520,0.26,78.02
533,0.68,115.52
330,1.36,73.75
113,0.58,102.43
238,1.28,91.85
650,0.16,65.93
465,0.7,170.4
136,0.38,70.24
80,0.7,88.45
296,1.04,105.35
147,0.54,110.46
70,0.12,68.67
555,0.34,68.81
169,0.96,104.75
556,1.22,101.99
297,0.82,106.93
421,0.12,64.34
6,0.64,74.65
4,0.18,61.03
418,0.8,86.34
334,0.56,103.69
483,0.18,64.33
157,0.52,88.9
28,1.08,133.2
133,0.1,79.86
667,0.84,122.53
409,0.44,81.83
407,0.54,48.32
268,0.18,68.77
659,0.3,142.3
167,0.88,134.02
664,0.24,116.89
24,0.84,69.19
516,0.4,88.98
319,0.82,108.23
141,0.24,80.9
549,0.46,92.29
242,0.46,67.1
1,0.84,94.87
612,0.22,95.17
315,0.14,42.72
509,0.94,122.73
550,0.3,86.13
290,0.7,142.71
