ItemNum,ItemStem_Text,Answer__A,Answer__B,Answer__C,Answer__D,Answer__E,Answer__F,Answer__G,Answer__H,Answer__I,Answer__J,Answer_Key,Answer_Text,ItemType,EXAM,Difficulty,Response_Time
91,"Over 1 year, a study is conducted to assess the antileukemic activity of a new tyrosine kinase inhibitor in patients with chronic myeloid leukemia in blast crisis. All patients enrolled in the study are informed that they would be treated with the tyrosine kinase inhibitor. They are assigned to successive dose cohorts of 300 to 1000 mg/day of the drug. Six to eight patients are assigned to each dose. Treatment efficacy is determined based on the results of complete blood counts and bone marrow assessments conducted regularly throughout the study. This study is best described as which of the following?",Case-control study,Crossover study,Open-labeled clinical trial,Randomized clinical trial,"Single-blind, randomized, controlled trial",,,,,,C,Open-labeled clinical trial,Text,STEP 1,0.86,111.21
288,"A previously healthy 52-year-old woman comes to the physician because of a 2-month history of fatigue, constipation, and frequent urination. Her temperature is 37.1Â°C (98.8Â°F), pulse is 80/min, respirations are 14/min, and blood pressure is 140/90 mm Hg. Diffuse crackles are heard bilaterally. Her serum calcium concentration is 11.1 mg/dL, and serum parathyroid hormone concentration is decreased. A chest x-ray shows bilateral hilar lymphadenopathy and interstitial infiltrates. Which of the following is the most likely cause of this patient's hypercalcemia?",Calcitriol production by activated macrophages,Local resorption of bone by metastases,Parathyroid hormone-related peptide secretion,Secretion of parathyroid hormone,Secretion of thyroid-stimulating hormone,,,,,,A,Calcitriol production by activated macrophages,Text,STEP 1,0.44,83.94
160,"A 42-year-old woman is brought to the emergency department 10 minutes after being involved in a high-speed motor vehicle collision in which she was a restrained passenger. On arrival, she has shortness of breath and abdominal pain. Her  pulse is 135/min, respirations are 30/min, and blood pressure is 80/40 mm Hg. Breath sounds are decreased at the left lung base. An x-ray of the chest shows opacification of the left lower lung field with loss of the diaphragmatic shadow.  Placement of a chest tube yields a small amount of air followed by greenish fluid. Which of the following is the most appropriate next step in management?",CT scan of the abdomen,CT scan of the chest,Thoracoscopy,Laparotomy,Thoracotomy,,,,,,D,Laparotomy,Text,STEP 2,0.64,87.82
514,"A 37-year-old woman comes to the office for a routine health maintenance examination. For the past 6 years, she has worked in a paper mill factory that uses liquid chlorine to bleach the paper. The patient is concerned about her exposure to toxic substances. Vital signs are within normal limits. Examination shows no abnormalities. Which of the following is the most appropriate recommendation to address this patient's concerns?",Corticosteroid therapy,Taking frequent breaks from the paper-bleaching area,Undergoing monthly pulmonary function testing,Using a respirator at work,Washing daily after work with a chlorhexidine-based solution,,,,,,D,Using a respirator at work,Text,STEP 2,0.5,54.87
452,"A 71-year-old woman comes to the physician because of a 5-day history of a painful rash. The rash began as a burning sensation over the right lower side of her chest. Three days ago, small, flat, painful macules appeared that rapidly progressed to vesicular lesions. During this period, the pain has continually increased in severity. Her temperature is 37.8Â°C (100Â°F), pulse is 72/min, respirations are 22/min, and blood pressure is 129/78 mm Hg. Physical examination shows the findings in the photograph. The rash does not cross the midline. The most likely cause of this patient's illness is a deficiency in which of the following components of the immune system?",Cellular,Complement,Humoral,Phagocytic cell,Toll-like receptor,,,,,,A,Cellular,PIX,STEP 1,0.4,69.11
479,"A 1-month-old boy is brought to the emergency department because of a 1-day history of fever and cough. His temperature is 38.2Â°C (100.8Â°F), pulse is 140/min, and respirations are 54/min. Physical examination shows intercostal retractions. Wheezes are heard in all lung fields. A blood culture grows coagulase-negative, catalase-positive, gram-positive cocci in clusters. Which of the following best represents the infectious agent in this patient's blood culture?","Staphylococcus aureus, contaminant","Staphylococcus aureus, pathogen","Staphylococcus epidermidis, contaminant","Staphylococcus epidermidis, pathogen","Streptococcus pneumoniae, contaminant","Streptococcus pneumoniae, pathogen","Streptococcus sanguis, contaminant","Streptococcus sanguis, pathogen",,,C,"Staphylococcus epidermidis, contaminant",Text,STEP 1,0.28,86.08
228,"A 32-year-old woman comes to the physician because of fatigue for 6 months.  She has had progressively severe dyspnea on exertion for 6 weeks.  She had an extensive abdominal operation 5 years ago for Crohn disease.  She does not take any medications.  Her temperature is 37Â°C (98.6Â°F), pulse is 62/min, respirations are 18/min, and blood pressure is 110/65 mm Hg.  Examination of the thyroid gland, lungs, heart, abdomen, and extremities shows no abnormalities.  Test of the stool for occult blood is negative.  Laboratory studies show: Hemoglobinâ€ƒ 8 g/dL Mean corpuscular volumeâ€ƒ 70 Î¼m3 Leukocyte count 9000/mm3 Platelet count 500,000/mm3Which of the following is the most likely diagnosis?",Acute leukemia,Anemia of chronic disease,Folic acid deficiency,Iron deficiency,Lyme disease,Microangiopathic hemolytic anemia,Pernicious anemia,Sleep apnea,,,D,Iron deficiency,Text,STEP 2,0.72,100.58
635,A 45-year-old man is brought to the emergency department because of moderate chest pain after a generalized tonic-clonic seizure 30 minutes ago. He has seizure disorder for which he has taken carbamazepine and phenobarbital for the past 20 years. X-ray of the chest shows generalized osteopenia with several rib fractures.  Which of the following is the most likely nutritional deficiency?,Folic acid,Iron,Magnesium,Vitamin B2 (riboflavin),Vitamin D,Zinc,,,,,E,Vitamin D,Text,STEP 2,0.44,68.63
624,"Researchers from a large neurology center are conducting a study to examine the relationship between stress levels and fibromyalgia-related pain. Two hundred patients with fibromyalgia are randomly selected from the center for participation in the study. During recruitment, a baseline interview is conducted with each participant to obtain sociodemographic and personality data. Participants are given a study-provided portable digital device and asked to maintain a daily schedule of their fibromyalgia pain and stress levels for 30 days using two well-validated and reliable self-reporting scales. Results show a positive and statistically significant relationship between stress levels and fibromyalgia-related pain (P<.05). Similarly, statistically significant relationships were found between Type A personality participants and increased stress levels (P<.01), as well as increased levels of fibromyalgia-related pain (P<.005). Which of the following is the most appropriate method to control for the potential confounding effect of patients with a Type A personality?",Matching,Post hoc analysis,Randomization,Standardization,Stratification,,,,,,E,Stratification,Text,STEP 3,1.12,88.47
576,A 9-month-old boy is brought to the office by his mother for a well-child examination. He was born at 32Â weeksâ€™ gestation because of spontaneous rupture of membranes. Growth and development are appropriate for age. His mother says he can sit without support and is interactive. She is concerned that he still takes two to three 1-hour naps daily. He goes to sleep at 7 pm and awakens at 7 am. She says he also awakens and cries at least once nightly and settles back to sleep after drinking a bottle of formula. Physical examination shows no abnormalities. Which of the following is the most likely explanation for this patientâ€™s sleep pattern?,Gastroesophageal reflux,Hypoglycemia,Obstructive sleep apnea,Parasomnia,Normal development,,,,,,E,Normal development,Text,STEP 1,0.1,64.1
281,"A 46-year-old woman comes to the office because of a 4-month history of irregular vaginal bleeding that occurs every 2 weeks and lasts 3 to 5 days. Until 5 months ago when she missed a period, her periods had occurred at regular 30-day intervals and lasted for 5 days. She has not had vaginal pain or discharge, headache, dizziness, chest pain, or shortness of breath. Medical history is unremarkable. She takes no medications. Vital signs are temperature 37.0Â°C (98.6Â°F), pulse 80/min, respirations 16/min, and blood pressure 120/60 mm Hg. Pelvic examination discloses normal external female genitalia. There is a small amount of blood in the cervical os. Uterus is 10 cm, mobile, anteverted, nontender, and irregular in shape. Adnexa are without masses or tenderness. Hemoglobin concentration is 10.2 g/dL. Which of the following is the most appropriate next step in evaluation?",Determination of serum thyroid-stimulating hormone and prolactin concentrations,CT scan of the pelvis,Endometrial biopsy,Hysteroscopy with dilatation and curettage,Trial of hormone replacement therapy,,,,,,C,Endometrial biopsy,Text,STEP 3,0.88,97.36
139,"A 12-year-old boy is brought to the physician by his mother because of a 1-month history of pain below the left knee. His mother says, ""He can usually walk around, but he hasn't been able to play in any of his soccer games since this all began."" Examination of the left knee shows warmth, swelling, and tenderness. An x-ray of the knee is shown. Which of the following structures is attached to the abnormal anterior tibial area?",Anterior cruciate ligament,Gastrocnemius muscle,Patellar ligament,Popliteus muscle,Posterior cruciate ligament,Soleus muscle,,,,,C,Patellar ligament,PIX,STEP 1,0.64,88.2
129,Three weeks ago a 45-year-old man was admitted to the hospital because of frostbite of both feet. He was treated by rapid rewarming and protective care of the feet. All the toes on the right foot have turned black. He has become slightly febrile and progressively more confused during the past few days. Examination discloses cellulitis in the midfoot. Which of the following is the most appropriate treatment?,Amputation,Application of topical collagenase,Debridement of necrotic skin over the toes,Hyperbaric oxygen,Whirlpool therapy,,,,,,A,Amputation,Text,STEP 3,0.54,49.42
89,"A study is designed to evaluate the feasibility of acupuncture in children with chronic headaches. Sixty children with chronic headaches are recruited for the study. In addition to their usual therapy, all children are treated with acupuncture three times a week for 2 months. Which of the following best describes this study design?",Case-control,Case series,Crossover,Cross-sectional,Historical cohort,Randomized clinical trial,,,,,B,Case series,Text,STEP 1,0.84,79.34
